Date,Closing price   XAU/USD (Troy Ounce=31.1035 grams),Change Price,Change %,Indian Rs (85.53),UAE Dirham AED ( 3.67), Sri Lankan Rupee LKR (295.40),South African Rand R(19.10),Singapore Dollar sD  (1.34),Pakistani Rupee R(279.66),Japanese Yen (145.53),Chinese Yuan (7.72), Canadian Dollar (1.42), Australian Dollar AUD(1.64),Malaysian Ringgit RM (4.44),Russion ruble R(84.44)
"Apr 3, 2025","3,130.60",-9.30,-0.296187777,267760.218,11489.302,924779.24,59794.46,4195.004,875503.596,455596.218,24168.232,4445.452,5134.184,13899.864,264347.864
"Apr 2, 2025","3,139.90",21.00,0.67331431,268555.647,11523.433,927526.46,59972.09,4207.466,878104.434,456949.647,24240.028,4458.658,5149.436,13941.156,265133.156
"Apr 1, 2025","3,118.90",-3.90,-0.124887921,266759.517,11446.363,921323.06,59570.99,4179.326,872231.574,453893.517,24077.908,4428.838,5114.996,13847.916,263359.916
"Mar 31, 2025","3,122.80",36.30,1.176089422,267093.084,11460.676,922475.12,59645.48,4184.552,873322.248,454461.084,24108.016,4434.376,5121.392,13865.232,263689.232
"Mar 28, 2025","3,086.50",26.30,0.859420953,263988.345,11327.455,911752.1,58952.15,4135.91,863170.59,449178.345,23827.78,4382.83,5061.86,13704.06,260624.06
"Mar 27, 2025","3,060.20",39.30,1.300936807,261738.906,11230.934,903983.08,58449.82,4100.668,855815.532,445350.906,23624.744,4345.484,5018.728,13587.288,258403.288
"Mar 26, 2025","3,020.90",-2.80,-0.092601779,258377.577,11086.703,892373.86,57699.19,4048.006,844824.894,439631.577,23321.348,4289.678,4954.276,13412.796,255084.796
"Mar 25, 2025","3,023.70",10.60,0.351797152,258617.061,11096.979,893200.98,57752.67,4051.758,845607.942,440039.061,23342.964,4293.654,4958.868,13425.228,255321.228
"Mar 24, 2025","3,013.10",-5.10,-0.168974886,257710.443,11058.077,890069.74,57550.21,4037.554,842643.546,438496.443,23261.132,4278.602,4941.484,13378.164,254426.164
"Mar 21, 2025","3,018.20",-21.80,-0.717105263,258146.646,11076.794,891576.28,57647.62,4044.388,844069.812,439238.646,23300.504,4285.844,4949.848,13400.808,254856.808
"Mar 20, 2025","3,040.00",4.10,0.135050562,260011.2,11156.8,898016,58064,4073.6,850166.4,442411.2,23468.8,4316.8,4985.6,13497.6,256697.6
"Mar 19, 2025","3,035.90",0.80,0.026358275,259660.527,11141.753,896804.86,57985.69,4068.106,849019.794,441814.527,23437.148,4310.978,4978.876,13479.396,256351.396
"Mar 18, 2025","3,035.10",35.10,1.17,259592.103,11138.817,896568.54,57970.41,4067.034,848796.066,441698.103,23430.972,4309.842,4977.564,13475.844,256283.844
"Mar 17, 2025","3,000.00",5.50,0.183670062,256590,11010,886200,57300,4020,838980,436590,23160,4260,4920,13320,253320
"Mar 14, 2025","2,994.50",10.20,0.341788694,256119.585,10989.815,884575.3,57194.95,4012.63,837441.87,435789.585,23117.54,4252.19,4910.98,13295.58,252855.58
"Mar 13, 2025","2,984.30",45.20,1.537885747,255247.179,10952.381,881562.22,57000.13,3998.962,834589.338,434305.179,23038.796,4237.706,4894.252,13250.292,251994.292
"Mar 12, 2025","2,939.10",26.20,0.899447286,251381.223,10786.497,868210.14,56136.81,3938.394,821948.706,427727.223,22689.852,4173.522,4820.124,13049.604,248177.604
"Mar 11, 2025","2,912.90",21.90,0.757523348,249140.337,10690.343,860470.66,55636.39,3903.286,814621.614,423914.337,22487.588,4136.318,4777.156,12933.276,245965.276
"Mar 10, 2025","2,891.00",-13.70,-0.471649396,247267.23,10609.97,854001.4,55218.1,3873.94,808497.06,420727.23,22318.52,4105.22,4741.24,12836.04,244116.04
"Mar 7, 2025","2,904.70",-11.90,-0.408009326,248438.991,10660.249,858048.38,55479.77,3892.298,812328.402,422720.991,22424.284,4124.674,4763.708,12896.868,245272.868
"Mar 6, 2025","2,916.60",1.30,0.044592323,249456.798,10703.922,861563.64,55707.06,3908.244,815656.356,424452.798,22516.152,4141.572,4783.224,12949.704,246277.704
"Mar 5, 2025","2,915.30",5.70,0.195903217,249345.609,10699.151,861179.62,55682.23,3906.502,815292.798,424263.609,22506.116,4139.726,4781.092,12943.932,246167.932
"Mar 4, 2025","2,909.60",19.40,0.671233825,248858.088,10678.232,859495.84,55573.36,3898.864,813698.736,423434.088,22462.112,4131.632,4771.744,12918.624,245686.624
"Mar 3, 2025","2,890.20",53.40,1.882402707,247198.806,10607.034,853765.08,55202.82,3872.868,808273.332,420610.806,22312.344,4104.084,4739.928,12832.488,244048.488
"Feb 28, 2025","2,836.80",-46.40,-1.609322974,242631.504,10411.056,837990.72,54182.88,3801.312,793339.488,412839.504,21900.096,4028.256,4652.352,12595.392,239539.392
"Feb 27, 2025","2,883.20",-33.60,-1.15194734,246600.096,10581.344,851697.28,55069.12,3863.488,806315.712,419592.096,22258.304,4094.144,4728.448,12801.408,243457.408
"Feb 26, 2025","2,916.80",12.30,0.423480806,249473.904,10704.656,861622.72,55710.88,3908.512,815712.288,424481.904,22517.696,4141.856,4783.552,12950.592,246294.592
"Feb 25, 2025","2,904.50",-43.40,-1.472234472,248421.885,10659.515,857989.3,55475.95,3892.03,812272.47,422691.885,22422.74,4124.39,4763.38,12895.98,245255.98
"Feb 24, 2025","2,947.90",10.30,0.350626362,252133.887,10818.793,870809.66,56304.89,3950.186,824409.714,429007.887,22757.788,4186.018,4834.556,13088.676,248920.676
"Feb 21, 2025","2,937.60",-2.40,-0.081632653,251252.928,10780.992,867767.04,56108.16,3936.384,821529.216,427508.928,22678.272,4171.392,4817.664,13042.944,248050.944
"Feb 20, 2025","2,940.00",20.60,0.705624443,251458.2,10789.8,868476,56154,3939.6,822200.4,427858.2,22696.8,4174.8,4821.6,13053.6,248253.6
"Feb 19, 2025","2,919.40",-12.20,-0.416155001,249696.282,10714.198,862390.76,55760.54,3911.996,816439.404,424860.282,22537.768,4145.548,4787.816,12962.136,246514.136
"Feb 18, 2025","2,931.60",48.00,1.664585934,250739.748,10758.972,865994.64,55993.56,3928.344,819851.256,426635.748,22631.952,4162.872,4807.824,13016.304,247544.304
"Feb 14, 2025","2,883.60",-42.30,-1.445709013,246634.308,10582.812,851815.44,55076.76,3864.024,806427.576,419650.308,22261.392,4094.712,4729.104,12803.184,243491.184
"Feb 13, 2025","2,925.90",16.90,0.580955655,250252.227,10738.053,864310.86,55884.69,3920.706,818257.194,425806.227,22587.948,4154.778,4798.476,12990.996,247062.996
"Feb 12, 2025","2,909.00",-3.50,-0.120171674,248806.77,10676.03,859318.6,55561.9,3898.06,813530.94,423346.77,22457.48,4130.78,4770.76,12915.96,245635.96
"Feb 11, 2025","2,912.50",-1.80,-0.061764403,249106.125,10688.875,860352.5,55628.75,3902.75,814509.75,423856.125,22484.5,4135.75,4776.5,12931.5,245931.5
"Feb 10, 2025","2,914.30",47.00,1.639172741,249260.079,10695.481,860884.22,55663.13,3905.162,815013.138,424118.079,22498.396,4138.306,4779.452,12939.492,246083.492
"Feb 7, 2025","2,867.30",11.30,0.395658263,245240.169,10522.991,847000.42,54765.43,3842.182,801869.118,417278.169,22135.556,4071.566,4702.372,12730.812,242114.812
"Feb 6, 2025","2,856.00",-15.60,-0.543251149,244273.68,10481.52,843662.4,54549.6,3827.04,798708.96,415633.68,22048.32,4055.52,4683.84,12680.64,241160.64
"Feb 5, 2025","2,871.60",18.30,0.641362633,245607.948,10538.772,848270.64,54847.56,3847.944,803071.656,417903.948,22168.752,4077.672,4709.424,12749.904,242477.904
"Feb 4, 2025","2,853.30",19.40,0.684568969,244042.749,10471.611,842864.82,54498.03,3823.422,797953.878,415240.749,22027.476,4051.686,4679.412,12668.652,240932.652
"Feb 3, 2025","2,833.90",21.40,0.760888889,242383.467,10400.413,837134.06,54127.49,3797.426,792528.474,412417.467,21877.708,4024.138,4647.596,12582.516,239294.516
"Jan 31, 2025","2,812.50",-10.50,-0.37194474,240553.125,10321.875,830812.5,53718.75,3768.75,786543.75,409303.125,21712.5,3993.75,4612.5,12487.5,237487.5
